,LIR,LPeak,errLPeak,errLIR
275,204605698294.5083,98.10130928625958,5.31962350407058,10046755339.106462
276,61109607273.73212,130.52422186428868,5.123468802209014,2864885091.880616
277,24551971861.239292,147.57891940554015,5.662656205172847,1189919004.1106644
278,7879294384.127579,146.77312823824693,5.097253851610677,377061703.8608563
279,128698358651.42746,116.19378722632926,5.08733850273862,7071039640.916315
280,10260480565.4109,128.24103641348816,5.379805779107113,510594827.07068455
281,429600389727.8783,105.65899778322998,4.017699121180526,23780320876.989307
282,30943368524.96515,124.78816784843434,5.071068956650722,1575309252.997832
283,48058993531.09436,127.75346154927182,5.409073415862219,2437964026.8995233
284,37634454937.18418,114.05739939365886,5.682859491837948,1834286598.2232819
285,53316265725.82351,109.11880438317195,5.243710922959354,2622332920.7990303
286,738968436418.415,106.80648627402394,3.9849154040862373,43768579144.4179
287,494928416539.655,91.36592969433835,4.26703755193693,27873491490.612537
288,191351488903.79205,94.86990230102069,4.4413730724745,9943874090.16289
289,369737946760.8146,110.19233354564163,5.897418164099186,20735936561.53715
290,34496027830.763824,101.6886759259449,5.195810232976149,1965531724.796657
291,44235279678.28899,132.9778321520234,5.722835912619083,2254789166.927944
292,54466307815.06816,129.55961805060713,5.735851007585524,2552837045.787439
293,17680750977.41102,162.24644429805954,6.001439120463184,1013725376.6618769
294,21685299659.916885,126.47120572470719,4.936604170433551,1341095366.5415533
295,111960283644.02048,112.90763293446044,4.371947184808449,6504854657.249521
296,86668222790.78181,134.71046101536018,6.952386038465492,5747683095.122492
297,30814964849.78982,139.75296771362386,6.797891431669741,2039123954.3738785
298,20525038229.90094,160.05672523792953,5.822825499349882,1110704099.5807762
299,98319795539.49345,125.33119430483683,5.201971435049352,4924064568.220605
300,52457804952.35425,120.75215607286822,5.7036598230628375,2495532567.0838614
301,20658721815.003204,146.50648304153586,5.957906186580818,1041380897.6228869
302,14651258814.88177,135.61662042047442,5.596726550755392,687085577.6189605
303,72891781564.79166,131.4175771896579,5.167587134236271,3458939179.2777033
304,13175775666.19386,164.22891340693144,6.53720080781955,795099595.1195791
305,32306565397.90818,135.93666312318007,5.734239914383442,1578617062.8003287
306,41834404364.52474,122.81175774159412,4.872611429713504,2259052610.6406775
307,85948123271.70302,118.62074528532433,5.281552748596274,4614243058.963552
308,24884799562.97107,138.74312860912795,5.79418969977201,1200746790.0800083
309,31692379373.813015,113.7356775483558,5.782710723014257,1612228529.009597
310,22702121576.95189,167.8522870331516,5.620667256360593,1347742350.90349
